Concurso,Data,Dez1,Dez2,Dez3,Dez4,Dez5,Dez6,Mega,Quina,Quadra,PremioSena,PremioQuina,PremioQuadra,Cidade
199,24/12/1999,10,16,37,50,52,57,1,34,3143,"R$4.915.593,20","R$28.316,55","R$305,16",SP
200,31/12/1999,12,15,19,34,44,51,2,186,13027,"R$8.829.389,20","R$11.008,48","R$156,59",
201,08/01/2000,5,20,22,30,35,55,1,77,4502,"R$1.038.373,94","R$11.237,81","R$191,48",RN
202,15/01/2000,12,24,44,45,49,53,0,65,4279,"R$0,00","R$12.412,65","R$187,85",
203,22/01/2000,11,19,29,44,47,55,0,63,5417,"R$0,00","R$14.099,33","R$163,36",
204,29/01/2000,29,31,39,41,51,58,0,32,2400,"R$0,00","R$30.221,85","R$401,43",
205,05/02/2000,26,32,40,43,46,54,1,71,6014,"R$4.490.339,49","R$15.208,03","R$178,86",RJ
206,12/02/2000,18,20,26,34,51,56,0,43,3478,"R$0,00","R$17.769,34","R$218,86",
207,19/02/2000,3,7,19,24,53,55,0,90,6510,"R$0,00","R$9.663,76","R$133,10",
208,26/02/2000,15,23,24,25,47,57,0,72,5232,"R$0,00","R$12.679,18","R$173,83",
209,04/03/2000,13,21,26,32,41,52,0,81,5496,"R$0,00","R$12.349,82","R$181,32",
210,11/03/2000,20,32,37,38,48,58,0,29,3921,"R$0,00","R$46.721,17","R$344,24",
211,18/03/2000,10,20,33,40,45,50,0,164,16680,"R$0,00","R$10.880,27","R$106,58",
212,25/03/2000,6,15,29,45,57,59,0,147,9880,"R$0,00","R$13.318,79","R$197,42",
213,01/04/2000,3,9,23,30,32,35,3,312,18348,"R$7.089.194,54","R$7.299,77","R$123,66",PR   RS   SC
214,08/04/2000,6,12,30,31,35,50,0,54,3769,"R$0,00","R$15.578,04","R$222,35",
215,15/04/2000,7,28,37,46,53,58,0,78,4942,"R$0,00","R$12.078,40","R$189,92",
216,22/04/2000,14,18,30,35,42,59,4,91,5049,"R$801.057,55","R$9.745,75","R$175,00",BA   MG   RJ   SP
217,29/04/2000,3,27,32,45,49,51,0,159,5820,"R$0,00","R$4.599,62","R$125,19",
218,06/05/2000,12,17,40,42,47,54,1,95,4679,"R$1.878.255,09","R$8.777,61","R$177,55",PR
219,13/05/2000,23,26,28,36,42,49,0,80,5139,"R$0,00","R$9.221,78","R$143,02",
220,20/05/2000,13,14,36,53,55,60,1,125,8067,"R$12.636.751,12","R$12.488,05","R$192,78",SP
221,27/05/2000,13,27,43,50,54,58,0,49,3793,"R$0,00","R$14.565,66","R$187,45",
222,03/06/2000,5,19,30,48,52,55,0,55,4462,"R$0,00","R$15.243,16","R$187,18",
223,10/06/2000,2,6,22,24,28,58,0,163,7780,"R$0,00","R$5.838,31","R$121,86",
224,17/06/2000,7,16,18,20,21,44,0,119,7185,"R$0,00","R$8.706,35","R$143,77",
225,24/06/2000,2,4,16,21,37,58,0,83,5517,"R$0,00","R$12.542,39","R$188,14",
226,01/07/2000,1,2,38,49,50,59,1,78,4123,"R$6.916.920,13","R$15.170,39","R$286,14",SP
227,08/07/2000,11,26,27,37,42,48,0,51,3648,"R$0,00","R$14.471,45","R$201,72",
228,15/07/2000,13,16,40,43,45,59,0,64,4497,"R$0,00","R$13.240,28","R$187,87",
229,22/07/2000,11,13,21,33,39,45,1,121,7685,"R$2.992.781,57","R$7.508,79","R$117,88",AM
230,29/07/2000,8,40,41,44,53,56,0,94,5820,"R$0,00","R$15.000,56","R$241,56",
231,05/08/2000,16,27,36,42,44,59,0,125,9458,"R$0,00","R$12.896,11","R$169,93",
232,12/08/2000,19,22,29,37,41,59,0,124,8807,"R$0,00","R$14.598,36","R$204,93",
233,19/08/2000,3,7,24,32,36,45,5,512,21452,"R$3.196.547,03","R$3.790,28","R$90,20",DF   SP
234,26/08/2000,15,25,41,42,45,54,0,39,3505,"R$0,00","R$19.369,91","R$214,89",
235,02/09/2000,2,22,29,31,41,55,0,52,3086,"R$0,00","R$16.604,49","R$278,96",
236,09/09/2000,10,25,50,52,57,60,0,76,4703,"R$0,00","R$12.197,95","R$196,53",
237,16/09/2000,7,31,36,45,56,57,0,54,4145,"R$0,00","R$19.896,75","R$258,44",
238,23/09/2000,9,13,15,37,41,42,4,188,10483,"R$1.429.476,11","R$6.088,25","R$108,86",BA   SP
239,30/09/2000,6,21,33,44,46,47,1,30,3826,"R$866.183,32","R$24.060,65","R$188,10",BA
240,07/10/2000,25,28,38,41,57,59,0,103,6244,"R$0,00","R$15.200,74","R$250,00",
241,14/10/2000,11,31,35,40,56,57,0,74,5485,"R$0,00","R$22.811,94","R$306,85",
242,21/10/2000,4,7,21,22,28,56,0,203,13497,"R$0,00","R$9.933,73","R$148,97",
243,28/10/2000,11,16,20,23,32,47,0,180,13705,"R$0,00","R$12.019,97","R$157,40",
244,04/11/2000,19,24,33,47,50,60,0,204,14735,"R$0,00","R$13.698,02","R$189,08",
245,11/11/2000,8,27,44,51,53,60,3,283,21593,"R$9.153.484,88","R$15.838,62","R$206,96",GO   MG   SC
246,18/11/2000,2,16,32,37,43,57,0,93,5429,"R$0,00","R$9.292,06","R$158,71",
247,25/11/2000,3,10,23,30,34,46,0,80,6425,"R$0,00","R$12.080,19","R$149,96",
248,02/12/2000,16,32,34,35,41,56,0,50,4862,"R$0,00","R$21.550,72","R$220,96",
249,09/12/2000,21,36,40,49,54,55,0,60,4247,"R$0,00","R$19.680,20","R$277,21",
250,16/12/2000,7,25,41,42,43,55,0,203,15545,"R$0,00","R$10.867,31","R$141,50",
251,23/12/2000,15,23,30,34,49,55,0,180,12813,"R$0,00","R$15.473,98","R$216,73",
252,30/12/2000,4,17,26,32,51,54,2,354,22122,"R$15.107.002,24","R$10.070,62","R$160,67",DF   SP
253,06/01/2001,11,12,24,37,44,56,0,126,7260,"R$0,00","R$6.985,77","R$120,88",
254,13/01/2001,1,4,21,22,30,56,0,66,6381,"R$0,00","R$16.400,47","R$169,14",
255,20/01/2001,16,19,20,32,44,55,0,80,6812,"R$0,00","R$14.363,63","R$168,19",
256,27/01/2001,2,21,26,32,34,52,0,91,6319,"R$0,00","R$13.336,96","R$191,49",
257,03/02/2001,1,4,5,19,28,34,1,175,11706,"R$6.808.483,96","R$7.704,83","R$114,84",RJ
258,10/02/2001,7,12,50,54,55,60,0,53,3615,"R$0,00","R$15.960,68","R$233,30",
259,17/02/2001,13,15,20,33,43,58,0,65,5581,"R$0,00","R$15.136,22","R$175,77",
