Concurso,Data,dezena1,dezena2,dezena3,dezena4,dezena5,dezena6,Mega,Quina,Quadra,Cidade
328,12/01/2002,5,7,14,21,23,51,1,100,7121,SP
329,16/01/2002,10,11,12,24,35,40,0,40,2904,
330,19/01/2002,2,4,14,23,37,51,0,120,7914,
331,23/01/2002,1,13,20,27,35,37,0,70,6408,
332,26/01/2002,23,28,29,34,42,44,0,83,6713,
333,30/01/2002,4,27,35,44,52,53,0,93,6221,
334,02/02/2002,14,23,24,26,41,51,2,1200,8839,SP
335,06/02/2002,7,23,33,43,57,59,0,24,2134,
336,09/02/2002,2,18,22,26,30,54,0,68,4141,
337,16/02/2002,4,14,16,31,52,54,0,34,3454,
338,20/02/2002,1,4,9,36,46,48,0,43,3245,
339,23/02/2002,5,12,13,16,27,50,0,76,6908,
340,27/02/2002,9,10,12,33,42,60,0,121,6970,
341,02/03/2002,5,16,22,23,43,56,0,166,11103,
342,06/03/2002,16,29,34,49,51,54,0,93,5578,
343,09/03/2002,4,6,7,12,24,41,2,246,17023,PR   RJ
344,13/03/2002,10,12,14,33,35,36,0,46,3487,
345,16/03/2002,11,22,46,51,56,58,1,27,2170,SP
346,20/03/2002,7,12,41,46,56,60,0,20,1589,
347,23/03/2002,1,10,12,26,48,52,0,72,4730,
348,27/03/2002,19,30,33,39,40,52,0,19,1547,
349,30/03/2002,8,9,28,32,38,54,0,46,3264,
350,03/04/2002,10,15,23,30,43,57,0,80,5012,
351,06/04/2002,15,16,24,41,59,60,0,98,5832,
352,10/04/2002,7,20,25,44,47,49,0,161,8080,
353,13/04/2002,19,23,30,46,55,60,0,89,6862,
354,17/04/2002,7,16,38,40,41,52,1,93,6184,SP
355,20/04/2002,2,14,22,23,37,60,0,50,4711,
356,24/04/2002,5,19,21,54,56,58,0,32,2415,
357,27/04/2002,2,30,32,35,45,53,0,34,3265,
358,04/05/2002,12,17,21,32,40,42,0,84,5798,
359,08/05/2002,13,19,20,29,31,54,0,56,3953,
360,11/05/2002,23,24,29,47,53,55,0,133,8382,
361,15/05/2002,16,28,31,41,45,59,0,98,5236,
362,18/05/2002,7,20,33,37,46,56,1,110,8313,RJ
363,22/05/2002,19,29,39,47,49,54,0,27,2225,
364,25/05/2002,5,29,44,51,57,59,1,76,3315,SC
365,29/05/2002,19,23,34,37,52,58,1,45,2433,MG
366,01/06/2002,4,6,7,15,21,51,0,41,3489,
367,05/06/2002,10,12,27,33,49,52,1,71,3040,BA
368,08/06/2002,13,29,32,38,44,50,0,53,3220,
369,12/06/2002,1,14,21,35,42,60,1,46,4167,CE
370,15/06/2002,1,4,40,42,51,54,0,40,3230,
371,19/06/2002,4,18,23,33,39,60,0,47,3979,
372,22/06/2002,16,17,24,39,46,57,2,85,6743,SP
373,26/06/2002,1,5,10,24,31,33,0,52,3292,
374,29/06/2002,2,5,16,26,44,54,0,80,3326,
375,03/07/2002,1,5,9,42,51,58,0,33,2359,
376,06/07/2002,10,13,25,35,43,48,0,110,6956,
377,10/07/2002,3,12,19,27,45,46,0,87,5468,
378,13/07/2002,5,38,41,45,48,55,0,36,3115,
379,17/07/2002,24,33,40,41,55,59,0,32,2830,
380,20/07/2002,13,22,30,31,47,57,0,206,7186,
381,24/07/2002,9,10,28,46,55,56,0,85,7295,
382,27/07/2002,31,34,37,38,53,54,0,68,6291,
383,31/07/2002,14,22,48,50,53,56,0,73,6573,
384,03/08/2002,24,28,40,47,50,52,0,151,10644,
385,07/08/2002,5,12,16,18,22,24,2,759,37449,DF   MG
386,10/08/2002,17,35,36,39,43,54,0,70,5236,
387,14/08/2002,22,28,29,43,47,48,0,40,2998,
388,17/08/2002,23,36,48,52,53,58,0,46,4293,
389,21/08/2002,5,14,18,43,46,54,0,63,4169,
390,24/08/2002,7,12,22,34,38,53,1,171,10722,SC
391,28/08/2002,4,7,15,16,35,40,0,44,2740,
392,31/08/2002,15,23,31,39,47,49,1,68,3591,SP
393,04/09/2002,6,12,35,36,40,50,0,31,1949,
394,07/09/2002,5,15,35,42,45,49,0,47,4815,
395,11/09/2002,10,11,14,20,31,58,1,27,2328,DF
396,14/09/2002,6,18,34,42,45,47,0,63,4201,
397,18/09/2002,1,2,5,24,32,46,0,61,4026,
398,21/09/2002,7,16,22,28,36,37,1,63,5106,CE
399,25/09/2002,11,16,27,47,55,59,0,20,1730,
400,28/09/2002,10,13,28,29,54,59,0,75,4875,
401,02/10/2002,11,18,43,44,50,53,0,33,2853,
402,05/10/2002,5,16,27,43,56,58,0,146,7787,
403,09/10/2002,7,16,27,31,46,60,0,48,4099,
404,12/10/2002,1,24,28,38,40,58,0,66,4364,
405,16/10/2002,24,29,34,47,57,60,0,67,4579,
406,19/10/2002,2,12,32,38,47,48,0,78,6557,
407,23/10/2002,2,18,22,49,51,57,0,90,6383,
408,26/10/2002,14,28,33,44,49,56,1,269,13970,RJ
409,30/10/2002,18,25,26,31,34,49,0,23,1958,
410,02/11/2002,8,24,31,36,38,55,0,101,5799,
411,06/11/2002,10,12,31,38,45,56,0,91,5115,
412,09/11/2002,5,12,14,21,45,59,0,89,8542,
413,13/11/2002,2,4,29,33,35,53,0,102,7746,
414,16/11/2002,16,26,35,45,52,58,1,51,5527,MS
415,20/11/2002,1,4,27,38,42,44,0,40,2415,
416,23/11/2002,1,13,23,33,54,56,0,44,4032,
417,27/11/2002,7,12,21,25,34,42,0,78,5218,
418,30/11/2002,8,15,32,45,49,52,2,82,5133,ES   MG
419,04/12/2002,9,16,41,42,52,53,0,30,1594,
420,07/12/2002,12,29,30,43,57,59,0,83,5614,
421,11/12/2002,5,35,37,38,45,51,0,47,4716,
422,14/12/2002,12,37,43,55,56,60,0,80,6516,
423,18/12/2002,8,22,32,33,40,53,0,66,4178,
424,21/12/2002,18,27,29,36,46,59,0,91,7389,
425,28/12/2002,6,10,16,34,42,47,1,279,17411,DF
426,04/01/2003,7,30,32,37,50,54,0,58,3139,
427,08/01/2003,3,13,14,24,43,51,0,48,3563,
428,11/01/2003,8,28,30,32,46,60,0,48,3734,
429,15/01/2003,17,26,32,36,43,55,0,44,3300,
430,18/01/2003,8,10,21,25,38,50,1,85,6944,PR
431,22/01/2003,26,37,40,47,52,58,0,20,1184,
432,25/01/2003,4,13,17,27,39,50,0,54,4278,
433,29/01/2003,16,17,28,30,36,54,0,31,2332,
434,01/02/2003,4,10,17,24,30,54,0,84,4870,
435,05/02/2003,10,11,17,31,37,43,0,55,3243,
436,08/02/2003,1,6,7,29,48,57,0,47,4696,
437,12/02/2003,7,10,30,44,54,59,0,33,2829,
438,15/02/2003,3,5,11,14,38,48,0,65,6276,
439,19/02/2003,13,20,29,42,43,57,0,65,4407,
440,22/02/2003,3,5,23,30,46,47,0,139,10120,
441,26/02/2003,2,10,15,21,58,59,0,121,6941,
442,01/03/2003,6,15,23,31,37,59,1,135,9944,SP
443,08/03/2003,11,17,26,36,48,52,0,47,3738,
